#color    , feh_range , color_range  , a0    , a1    , a2     , a3     , a4 , a5 , N , sig_teff    
B-V , 0.5665 , 0.4809 , -0.0060 , -0.0613  , -0.0042 , -0.0055 , 400 , 73     
V-RC   , 0.4386 , 1.4614 , -0.7014 ,  -0.0807 , 0.0142  , -0.0015 , 201 , 62
R-I , 0.3296 , 1.9716 , -1.0225 , -0.0298  , 0.0329  , 0.0035  , 211 , 82
V-IC   , 0.4033 , 0.8171 , -0.1987 , -0.0409  , 0.0319  , 0.0012  , 208 , 59
V-J    , 0.4669 , 0.3849 , -0.0350 , -0.0140  , 0.0225  , 0.0011  , 401 , 42
V-H    , 0.5251 , 0.2553 , -0.0119 , -0.0187  , 0.0410  , 0.0025  , 401 , 33
V-KS   , 0.5057 , 0.2600 , -0.0146 ,  -0.0131 , 0.0288  , 0.0016  , 401 , 25
J-KS   , 0.6393 , 0.6104 , 0.0920  , -0.0330  , 0.0291  , 0.0020  , 412 , 132
B-VT , 0.5839 , 0.4000 , -0.0067 , -0.0282  , -0.0346 , -0.0087 , 251 , 79
VT-J   , 0.4525 , 0.3797 , -0.0357 , -0.0082  , 0.0123  , -0.0009 , 272 , 43
VT-H   , 0.5286 , 0.2354 , -0.0073 ,  -0.0182 , 0.0401  , 0.0021  , 263 , 26
VT-KS , 0.4892 , 0.2634 , -0.0165 , -0.0121  , 0.0249  , -0.0001 , 258 , 18
b-y   , 0.5796 , 0.4812 , 0.5747  , -0.0633  , 0.0042  , -0.0055 , 1120 , 62 
